id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233927,2017-08-01,+14,758,пасмурно,-,Ю 5м/с,+14,756,пасмурно,-,Ю 5м/с
233927,2017-08-02,+16,752,малооблачно,-,ЮЗ 3м/с,+14,752,пасмурно,-,ЮЗ 3м/с
233927,2017-08-03,+17,756,ясно,-,ЮЗ 4м/с,+17,756,ясно,-,ЮЗ 4м/с
233927,2017-08-04,+15,758,пасмурно,-,ЮВ 9м/с,+14,758,пасмурно,-,ЮВ 9м/с
233927,2017-08-05,+14,761,пасмурно,-,ЮВ 5м/с,+15,762,пасмурно,-,ЮВ 5м/с
233927,2017-08-06,+16,761,пасмурно,-,ЮЗ 4м/с,+14,761,пасмурно,-,ЮЗ 4м/с
233927,2017-08-07,+17,761,малооблачно,-,ЮЗ 4м/с,+16,761,облачно,-,ЮЗ 4м/с
233927,2017-08-08,+16,762,малооблачно,-,Ю 3м/с,+14,761,малооблачно,-,Ю 3м/с
233927,2017-08-09,+17,761,малооблачно,-,ЮЗ 4м/с,+16,761,пасмурно,-,ЮЗ 4м/с
233927,2017-08-10,+18,761,малооблачно,-,Ю 2м/с,+17,761,пасмурно,-,Ю 2м/с
233927,2017-08-11,+18,762,пасмурно,-,Ю 3м/с,+16,762,пасмурно,-,Ю 3м/с
233927,2017-08-12,+17,760,пасмурно,-,ЮЗ 4м/с,+17,759,пасмурно,-,ЮЗ 4м/с
233927,2017-08-13,+19,756,малооблачно,-,ЮВ 4м/с,+17,755,пасмурно,-,ЮВ 4м/с
233927,2017-08-14,+17,760,пасмурно,-,ЮВ 7м/с,+15,763,пасмурно,-,ЮВ 7м/с
233927,2017-08-15,+18,765,малооблачно,-,ЮЗ 3м/с,+17,765,малооблачно,-,ЮЗ 3м/с
233927,2017-08-16,+17,765,облачно,-,Ю 3м/с,+15,764,пасмурно,-,Ю 3м/с
233927,2017-08-17,+17,762,пасмурно,-,Ю 4м/с,+16,761,пасмурно,-,Ю 4м/с
233927,2017-08-18,+16,759,пасмурно,-,ЮЗ 2м/с,+16,759,пасмурно,-,ЮЗ 2м/с
233927,2017-08-19,+15,759,пасмурно,-,Ю 5м/с,+16,758,пасмурно,-,Ю 5м/с
233927,2017-08-20,+14,754,пасмурно,-,ЮВ 4м/с,+14,752,пасмурно,-,ЮВ 4м/с
233927,2017-08-21,+15,754,пасмурно,-,С 5м/с,+16,756,пасмурно,-,С 5м/с
233927,2017-08-22,+16,760,пасмурно,-,ЮВ 6м/с,+14,760,пасмурно,-,ЮВ 6м/с
233927,2017-08-23,+14,760,пасмурно,-,Ю 2м/с,+14,759,облачно,-,Ю 2м/с
233927,2017-08-24,+14,758,облачно,-,Ю 3м/с,+15,757,облачно,-,Ю 3м/с
233927,2017-08-25,+13,755,пасмурно,-,В 2м/с,+13,755,облачно,-,В 2м/с
233927,2017-08-26,+15,752,пасмурно,-,С 3м/с,+15,751,малооблачно,-,С 3м/с
233927,2017-08-27,+15,752,пасмурно,-,ЮВ 4м/с,+14,754,облачно,-,ЮВ 4м/с
233927,2017-08-28,+15,759,пасмурно,-,Ю 3м/с,+14,761,облачно,-,Ю 3м/с
233927,2017-08-29,+16,761,малооблачно,-,ЮВ 5м/с,+15,761,ясно,-,ЮВ 5м/с
233927,2017-08-30,+15,758,малооблачно,-,ЮВ 6м/с,+14,756,облачно,-,ЮВ 6м/с
233927,2017-08-31,+15,752,пасмурно,-,С 4м/с,+13,751,пасмурно,-,С 4м/с
