id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233863,2018-02-01,-14,768,ясно,-,СВ 1м/с,-24,770,ясно,-,СВ 1м/с
233863,2018-02-02,-23,770,малооблачно,-,Ш,-26,770,ясно,-,Ш
233863,2018-02-03,-22,768,ясно,-,Ш,-25,769,ясно,-,Ш
233863,2018-02-04,-19,767,малооблачно,-,С 1м/с,-23,767,ясно,-,С 1м/с
233863,2018-02-05,-17,762,ясно,-,С 1м/с,-22,762,ясно,-,С 1м/с
233863,2018-02-06,-15,758,облачно,-,СВ 1м/с,-16,758,малооблачно,-,СВ 1м/с
233863,2018-02-07,-13,752,ясно,-,З 7м/с,-18,751,ясно,-,З 7м/с
233863,2018-02-08,-14,750,ясно,-,З 5м/с,-18,752,ясно,-,З 5м/с
233863,2018-02-09,-10,755,малооблачно,-,З 3м/с,-18,754,малооблачно,-,З 3м/с
233863,2018-02-10,-15,749,пасмурно,-,СВ 1м/с,-18,751,пасмурно,-,СВ 1м/с
233863,2018-02-11,-16,748,пасмурно,снег,СВ 1м/с,-20,749,пасмурно,снег,СВ 1м/с
233863,2018-02-12,-16,746,ясно,-,З 4м/с,-19,747,ясно,-,З 4м/с
233863,2018-02-13,-17,745,ясно,-,З 5м/с,-21,746,малооблачно,-,З 5м/с
233863,2018-02-14,-14,746,ясно,-,З 6м/с,-18,747,ясно,-,З 6м/с
233863,2018-02-15,-12,748,ясно,-,З 5м/с,-16,749,ясно,-,З 5м/с
233863,2018-02-16,-12,749,ясно,-,З 3м/с,-16,751,пасмурно,снег,З 3м/с
233863,2018-02-17,-12,752,малооблачно,-,З 2м/с,-17,755,ясно,-,З 2м/с
233863,2018-02-18,-11,755,ясно,-,З 5м/с,-15,756,ясно,-,З 5м/с
233863,2018-02-19,-11,752,ясно,-,СЗ 2м/с,-15,752,пасмурно,-,СЗ 2м/с
233863,2018-02-20,-14,750,малооблачно,-,СВ 2м/с,-17,752,малооблачно,-,СВ 2м/с
233863,2018-02-21,-14,752,малооблачно,-,З 4м/с,-17,755,малооблачно,-,З 4м/с
233863,2018-02-22,-17,755,ясно,-,СВ 2м/с,-21,758,ясно,-,СВ 2м/с
233863,2018-02-23,-16,760,ясно,-,С 1м/с,-21,762,ясно,-,С 1м/с
233863,2018-02-24,-12,761,малооблачно,-,СЗ 1м/с,-14,761,ясно,-,СЗ 1м/с
233863,2018-02-25,-12,761,пасмурно,снег,З 3м/с,-14,764,пасмурно,снег,З 3м/с
233863,2018-02-26,-8,764,малооблачно,-,З 2м/с,-10,764,пасмурно,-,З 2м/с
233863,2018-02-27,-5,761,ясно,-,З 3м/с,-11,761,ясно,-,З 3м/с
233863,2018-02-28,-6,757,ясно,-,З 4м/с,-11,756,ясно,-,З 4м/с
