id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233909,2021-11-01,0,770,малооблачно,-,ЮЗ 3м/с,-1,768,ясно,-,ЮЗ 3м/с
233909,2021-11-02,+2,766,ясно,-,В 3м/с,+1,766,ясно,-,В 3м/с
233909,2021-11-03,+4,763,ясно,-,Ю 11м/с,+2,763,ясно,-,Ю 11м/с
233909,2021-11-04,+4,762,ясно,-,Ю 3м/с,-1,764,ясно,-,Ю 3м/с
233909,2021-11-05,+1,764,пасмурно,-,ЮВ 6м/с,+1,764,-,-,ЮВ 6м/с
233909,2021-11-06,+4,753,пасмурно,-,Ю 12м/с,-1,752,пасмурно,снег,Ю 12м/с
233909,2021-11-07,-6,762,ясно,-,З 7м/с,-6,764,ясно,-,З 7м/с
233909,2021-11-08,-3,767,малооблачно,-,ЮЗ 1м/с,-5,769,ясно,-,ЮЗ 1м/с
233909,2021-11-09,-2,762,пасмурно,-,ЮВ 4м/с,0,759,пасмурно,снег,ЮВ 4м/с
233909,2021-11-11,+3,743,пасмурно,-,Ю 5м/с,+2,743,пасмурно,-,Ю 5м/с
233909,2021-11-12,0,743,пасмурно,-,ЮЗ 5м/с,-1,745,пасмурно,снег,ЮЗ 5м/с
233909,2021-11-13,0,747,малооблачно,-,З 5м/с,-2,749,малооблачно,-,З 5м/с
233909,2021-11-14,-3,752,ясно,-,ЮЗ 5м/с,-6,752,ясно,-,ЮЗ 5м/с
233909,2021-11-15,-5,752,ясно,-,З 6м/с,-6,753,малооблачно,-,З 6м/с
233909,2021-11-16,-5,755,пасмурно,-,З 8м/с,-6,755,пасмурно,-,З 8м/с
233909,2021-11-17,-4,755,малооблачно,-,З 6м/с,-6,756,ясно,-,З 6м/с
233909,2021-11-18,-4,758,ясно,-,ЮЗ 2м/с,-7,758,ясно,-,ЮЗ 2м/с
233909,2021-11-19,-2,760,пасмурно,-,С 7м/с,-2,761,пасмурно,-,С 7м/с
233909,2021-11-20,-4,764,пасмурно,-,З 11м/с,-4,765,пасмурно,снег,З 11м/с
233909,2021-11-21,-2,767,пасмурно,-,СЗ 13м/с,-3,768,пасмурно,-,СЗ 13м/с
233909,2021-11-22,-2,767,пасмурно,-,С 5м/с,-1,764,пасмурно,-,С 5м/с
233909,2021-11-23,+1,748,пасмурно,-,В 13м/с,-,-,-,-,-
233909,2021-11-24,0,751,ясно,-,В 4м/с,+1,752,пасмурно,-,В 4м/с
233909,2021-11-25,+1,753,пасмурно,-,СВ 8м/с,+2,755,пасмурно,-,СВ 8м/с
233909,2021-11-26,0,760,пасмурно,-,С 11м/с,0,763,пасмурно,-,С 11м/с
233909,2021-11-27,-2,764,пасмурно,-,З 6м/с,-5,764,ясно,-,З 6м/с
233909,2021-11-28,-3,764,ясно,-,З 7м/с,-5,763,пасмурно,снег,З 7м/с
233909,2021-11-29,-6,761,пасмурно,снег,СЗ 7м/с,-9,763,ясно,-,СЗ 7м/с
233909,2021-11-30,-9,762,пасмурно,-,ЮЗ 4м/с,-11,762,ясно,-,ЮЗ 4м/с
