id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233910,2017-11-01,-1,750,малооблачно,-,З 4м/с,-2,751,пасмурно,-,З 4м/с
233910,2017-11-02,-2,757,облачно,снег,СЗ 3м/с,-9,759,ясно,-,СЗ 3м/с
233910,2017-11-03,-3,758,малооблачно,-,СЗ 4м/с,-5,758,пасмурно,-,СЗ 4м/с
233910,2017-11-04,-6,755,облачно,-,З 3м/с,-10,755,малооблачно,-,З 3м/с
233910,2017-11-05,-6,750,ясно,-,З 2м/с,-9,749,пасмурно,-,З 2м/с
233910,2017-11-06,0,749,пасмурно,-,З 7м/с,-5,752,ясно,-,З 7м/с
233910,2017-11-08,-2,757,ясно,-,ЮЗ 2м/с,-12,758,ясно,-,ЮЗ 2м/с
233910,2017-11-09,-3,758,малооблачно,снег,З 3м/с,-5,758,пасмурно,-,З 3м/с
233910,2017-11-10,-2,755,пасмурно,-,З 3м/с,-6,754,облачно,-,З 3м/с
233910,2017-11-11,-4,754,пасмурно,-,СЗ 5м/с,-9,755,ясно,-,СЗ 5м/с
233910,2017-11-12,-5,757,малооблачно,-,СЗ 4м/с,-11,758,малооблачно,-,СЗ 4м/с
233910,2017-11-13,-4,757,облачно,-,З 3м/с,-14,756,ясно,-,З 3м/с
233910,2017-11-14,-6,752,пасмурно,-,В 2м/с,-4,747,пасмурно,снег,В 2м/с
233910,2017-11-15,-7,743,пасмурно,снег,З 8м/с,-,-,-,-,-
233910,2017-11-16,-12,756,ясно,-,З 1м/с,-22,760,ясно,-,З 1м/с
233910,2017-11-17,-13,759,ясно,-,З 3м/с,-22,760,ясно,-,З 3м/с
233910,2017-11-18,-14,757,пасмурно,-,З 3м/с,-15,755,пасмурно,снег,З 3м/с
233910,2017-11-19,-12,752,малооблачно,-,З 5м/с,-18,751,ясно,-,З 5м/с
233910,2017-11-20,-17,749,малооблачно,-,ЮЗ 3м/с,-25,749,ясно,-,ЮЗ 3м/с
233910,2017-11-21,-16,753,ясно,-,З 2м/с,-24,754,ясно,-,З 2м/с
233910,2017-11-22,-14,751,пасмурно,-,В 2м/с,-14,751,пасмурно,снег,В 2м/с
233910,2017-11-23,-10,749,пасмурно,снег,З 5м/с,-9,749,пасмурно,снег,З 5м/с
233910,2017-11-24,-11,747,пасмурно,снег,З 5м/с,-16,749,малооблачно,снег,З 5м/с
233910,2017-11-25,-19,751,ясно,-,З 4м/с,-27,752,ясно,-,З 4м/с
233910,2017-11-28,,,-,-,,-22,757,ясно,-,Ш
233910,2017-11-29,-9,748,пасмурно,снег,СВ 5м/с,-11,751,пасмурно,снег,СВ 5м/с
233910,2017-11-30,-20,755,ясно,-,З 6м/с,-24,755,ясно,-,З 6м/с
