id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233911,2020-06-01,+11,752,пасмурно,-,СВ 3м/с,+6,752,пасмурно,-,СВ 3м/с
233911,2020-06-02,+11,749,пасмурно,-,ЮВ 4м/с,+10,749,пасмурно,-,ЮВ 4м/с
233911,2020-06-03,+8,750,пасмурно,-,СВ 3м/с,+5,752,пасмурно,-,СВ 3м/с
233911,2020-06-04,+5,754,пасмурно,-,СЗ 4м/с,+3,755,пасмурно,-,СЗ 4м/с
233911,2020-06-05,+7,755,пасмурно,-,С 2м/с,+5,756,пасмурно,-,С 2м/с
233911,2020-06-06,+11,755,пасмурно,-,С 3м/с,+9,756,пасмурно,-,С 3м/с
233911,2020-06-07,+13,756,пасмурно,-,СВ 3м/с,+8,757,пасмурно,-,СВ 3м/с
233911,2020-06-08,+13,758,пасмурно,-,СЗ 4м/с,+9,758,пасмурно,-,СЗ 4м/с
233911,2020-06-09,+11,751,пасмурно,-,ЮВ 8м/с,+10,749,пасмурно,-,ЮВ 8м/с
233911,2020-06-10,+16,744,пасмурно,гроза,СЗ 5м/с,+10,748,пасмурно,-,СЗ 5м/с
233911,2020-06-11,+14,746,пасмурно,-,ЮВ 5м/с,+9,745,пасмурно,-,ЮВ 5м/с
233911,2020-06-12,+5,743,пасмурно,-,С 2м/с,+4,744,пасмурно,-,С 2м/с
233911,2020-06-13,+5,747,пасмурно,-,С 3м/с,+4,749,пасмурно,-,С 3м/с
233911,2020-06-14,+9,752,пасмурно,-,С 2м/с,+7,752,пасмурно,-,С 2м/с
233911,2020-06-15,+10,750,пасмурно,-,СВ 3м/с,+5,751,пасмурно,-,СВ 3м/с
233911,2020-06-16,+8,752,пасмурно,-,С 3м/с,+5,753,пасмурно,-,С 3м/с
233911,2020-06-17,+10,755,пасмурно,-,СВ 2м/с,+8,757,пасмурно,-,СВ 2м/с
233911,2020-06-18,+10,758,пасмурно,-,В 2м/с,+9,758,пасмурно,-,В 2м/с
233911,2020-06-19,+11,758,пасмурно,-,СВ 2м/с,+10,758,пасмурно,-,СВ 2м/с
233911,2020-06-20,+14,758,облачно,-,ЮВ 5м/с,+11,758,пасмурно,-,ЮВ 5м/с
233911,2020-06-21,+13,758,пасмурно,-,ЮВ 4м/с,+8,759,пасмурно,-,ЮВ 4м/с
233911,2020-06-22,+12,759,малооблачно,-,ЮВ 5м/с,+12,760,пасмурно,-,ЮВ 5м/с
233911,2020-06-23,+14,760,пасмурно,-,ЮВ 5м/с,+10,761,малооблачно,-,ЮВ 5м/с
233911,2020-06-24,+13,760,малооблачно,-,ЮВ 5м/с,+13,759,пасмурно,-,ЮВ 5м/с
233911,2020-06-25,+14,756,пасмурно,-,ЮВ 5м/с,+12,755,пасмурно,-,ЮВ 5м/с
233911,2020-06-26,+15,754,пасмурно,-,ЮВ 5м/с,+13,754,пасмурно,-,ЮВ 5м/с
233911,2020-06-28,+13,753,пасмурно,-,СВ 4м/с,+11,753,пасмурно,-,СВ 4м/с
233911,2020-06-29,+13,753,пасмурно,-,СЗ 2м/с,+9,753,малооблачно,-,СЗ 2м/с
233911,2020-06-30,+16,750,пасмурно,-,ЮВ 4м/с,+14,750,ясно,-,ЮВ 4м/с
