id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
4835,2019-05-01,+6,754,пасмурно,-,В 6м/с,+4,754,облачно,-,В 6м/с
4835,2019-05-02,+3,754,пасмурно,-,Ю 5м/с,+1,755,малооблачно,-,Ю 5м/с
4835,2019-05-03,+5,758,облачно,-,ЮЗ 2м/с,+4,758,малооблачно,-,ЮЗ 2м/с
4835,2019-05-04,+5,758,малооблачно,-,ЮЗ 3м/с,+4,759,малооблачно,-,ЮЗ 3м/с
4835,2019-05-05,+4,762,малооблачно,-,Ю 3м/с,+3,761,малооблачно,-,Ю 3м/с
4835,2019-05-06,+2,763,пасмурно,-,ЮВ 5м/с,+1,762,-,-,ЮВ 5м/с
4835,2019-05-07,+1,760,пасмурно,-,ЮВ 9м/с,+1,760,пасмурно,-,ЮВ 9м/с
4835,2019-05-08,+1,761,пасмурно,-,ЮВ 12м/с,+2,762,пасмурно,-,ЮВ 12м/с
4835,2019-05-09,+2,763,пасмурно,-,Ю 6м/с,+2,764,пасмурно,-,Ю 6м/с
4835,2019-05-10,+8,764,малооблачно,-,Ю 4м/с,+6,764,ясно,-,Ю 4м/с
4835,2019-05-11,+8,763,ясно,-,ЮЗ 3м/с,+6,762,ясно,-,ЮЗ 3м/с
4835,2019-05-12,+2,761,пасмурно,-,Ю 3м/с,+1,759,пасмурно,-,Ю 3м/с
4835,2019-05-13,+4,755,пасмурно,-,С 2м/с,+11,755,ясно,-,С 2м/с
4835,2019-05-14,+9,761,ясно,-,З 6м/с,+7,761,малооблачно,-,З 6м/с
4835,2019-05-15,+5,764,облачно,-,Ю 7м/с,+5,764,пасмурно,-,Ю 7м/с
4835,2019-05-16,+7,767,облачно,-,Ю 4м/с,+5,767,пасмурно,-,Ю 4м/с
4835,2019-05-17,+4,765,пасмурно,-,ЮВ 6м/с,+4,764,пасмурно,-,ЮВ 6м/с
4835,2019-05-18,+3,758,пасмурно,-,ЮВ 12м/с,+3,756,пасмурно,-,ЮВ 12м/с
4835,2019-05-19,+3,746,пасмурно,-,Ю 3м/с,+4,745,облачно,-,Ю 3м/с
4835,2019-05-20,+8,752,малооблачно,-,Ю 5м/с,+7,755,малооблачно,-,Ю 5м/с
4835,2019-05-21,+6,764,облачно,-,ЮВ 7м/с,+5,764,пасмурно,-,ЮВ 7м/с
4835,2019-05-22,+5,753,пасмурно,-,ЮВ 7м/с,+4,751,пасмурно,-,ЮВ 7м/с
4835,2019-05-23,+3,751,пасмурно,-,ЮВ 7м/с,+3,750,пасмурно,-,ЮВ 7м/с
4835,2019-05-24,+3,751,пасмурно,-,ЮВ 5м/с,+4,752,пасмурно,-,ЮВ 5м/с
4835,2019-05-25,+4,753,пасмурно,-,Ю 4м/с,+2,754,пасмурно,-,Ю 4м/с
4835,2019-05-26,+6,754,облачно,-,ЮЗ 6м/с,+5,755,малооблачно,-,ЮЗ 6м/с
4835,2019-05-27,+6,758,малооблачно,-,Ю 5м/с,+4,759,пасмурно,-,Ю 5м/с
4835,2019-05-28,+4,762,пасмурно,-,ЮВ 9м/с,+4,762,пасмурно,-,ЮВ 9м/с
4835,2019-05-29,+6,761,пасмурно,-,ЮВ 8м/с,+6,759,пасмурно,-,ЮВ 8м/с
4835,2019-05-30,+5,758,пасмурно,-,ЮВ 3м/с,+6,755,пасмурно,-,ЮВ 3м/с
4835,2019-05-31,+4,758,пасмурно,-,ЮВ 9м/с,+4,758,пасмурно,-,ЮВ 9м/с
