id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233913,2020-02-01,-21,764,ясно,-,ЮВ 1м/с,-25,764,ясно,-,ЮВ 1м/с
233913,2020-02-02,-21,764,малооблачно,-,СЗ 3м/с,-23,764,ясно,-,СЗ 3м/с
233913,2020-02-03,,,-,-,,-16,762,пасмурно,снег,Ш
233913,2020-02-04,-14,762,пасмурно,снег,СЗ 8м/с,-16,764,ясно,-,СЗ 8м/с
233913,2020-02-05,-20,764,ясно,-,СЗ 10м/с,-25,764,ясно,-,СЗ 10м/с
233913,2020-02-06,-21,763,ясно,-,СЗ 4м/с,-25,764,ясно,-,СЗ 4м/с
233913,2020-02-07,-20,765,ясно,-,З 6м/с,-21,767,ясно,-,З 6м/с
233913,2020-02-08,-20,768,ясно,-,СЗ 10м/с,-24,768,ясно,-,СЗ 10м/с
233913,2020-02-09,-18,764,пасмурно,снег,СЗ 16м/с,-18,764,пасмурно,снег,СЗ 16м/с
233913,2020-02-10,-17,765,ясно,-,СЗ 6м/с,-20,764,пасмурно,-,СЗ 6м/с
233913,2020-02-11,-16,761,малооблачно,-,ЮВ 2м/с,-21,761,ясно,-,ЮВ 2м/с
233913,2020-02-12,-12,755,пасмурно,-,СЗ 1м/с,-13,756,пасмурно,снег,СЗ 1м/с
233913,2020-02-13,-12,760,малооблачно,снег,З 13м/с,-17,763,ясно,-,З 13м/с
233913,2020-02-14,-17,762,ясно,-,СЗ 5м/с,-19,762,ясно,-,СЗ 5м/с
233913,2020-02-15,-16,763,ясно,-,СЗ 11м/с,-16,765,пасмурно,снег,СЗ 11м/с
233913,2020-02-16,-13,768,ясно,-,С 5м/с,-17,769,ясно,-,С 5м/с
233913,2020-02-18,-17,762,ясно,-,Ш,-19,763,ясно,-,Ш
233913,2020-02-19,-15,764,ясно,-,ЮЗ 1м/с,-20,765,ясно,-,ЮЗ 1м/с
233913,2020-02-20,-15,767,ясно,-,СЗ 2м/с,-16,769,малооблачно,снег,СЗ 2м/с
233913,2020-02-21,-15,768,ясно,-,Ю 3м/с,-20,767,ясно,-,Ю 3м/с
233913,2020-02-22,-13,761,ясно,-,Ю 6м/с,-20,758,ясно,-,Ю 6м/с
233913,2020-02-23,-14,758,ясно,-,СЗ 3м/с,-21,759,ясно,-,СЗ 3м/с
233913,2020-02-24,-17,761,ясно,-,Ю 2м/с,-20,763,ясно,-,Ю 2м/с
233913,2020-02-25,-13,766,ясно,-,СЗ 5м/с,-21,767,ясно,-,СЗ 5м/с
233913,2020-02-27,-14,767,ясно,-,С 5м/с,-21,768,ясно,-,С 5м/с
233913,2020-02-28,-11,768,ясно,-,СЗ 5м/с,-,-,-,-,-
