id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233893,2018-04-01,+10,755,ясно,-,ЮЗ 3м/с,+6,755,ясно,-,ЮЗ 3м/с
233893,2018-04-03,+2,752,облачно,-,З 8м/с,-2,754,ясно,-,З 8м/с
233893,2018-04-04,0,752,ясно,-,ЮЗ 5м/с,-3,754,ясно,-,ЮЗ 5м/с
233893,2018-04-05,+3,754,пасмурно,-,З 3м/с,-2,755,малооблачно,-,З 3м/с
233893,2018-04-06,+2,754,ясно,-,СВ 2м/с,-4,754,ясно,-,СВ 2м/с
233893,2018-04-07,+4,746,пасмурно,-,СЗ 1м/с,-2,746,ясно,-,СЗ 1м/с
233893,2018-04-08,+4,746,облачно,-,Ш,-,-,-,-,-
233893,2018-04-09,+7,751,облачно,-,З 3м/с,+1,753,ясно,-,З 3м/с
233893,2018-04-10,+13,753,ясно,-,ЮЗ 5м/с,+2,752,ясно,-,ЮЗ 5м/с
233893,2018-04-11,+1,746,пасмурно,-,СВ 5м/с,-1,747,пасмурно,-,СВ 5м/с
233893,2018-04-12,+4,756,ясно,-,С 2м/с,-2,760,ясно,-,С 2м/с
233893,2018-04-13,+7,760,ясно,-,ЮЗ 4м/с,+4,759,ясно,-,ЮЗ 4м/с
233893,2018-04-14,+9,755,ясно,-,СВ 3м/с,+2,755,ясно,-,СВ 3м/с
233893,2018-04-15,+9,751,ясно,-,С 1м/с,+1,752,ясно,-,С 1м/с
233893,2018-04-16,+15,751,ясно,-,ЮЗ 4м/с,+9,752,ясно,-,ЮЗ 4м/с
233893,2018-04-17,+17,751,ясно,-,ЮЗ 5м/с,+12,752,ясно,-,ЮЗ 5м/с
233893,2018-04-18,+16,750,ясно,-,Ю 5м/с,+7,752,ясно,-,Ю 5м/с
233893,2018-04-19,+15,752,ясно,-,С 1м/с,+10,753,ясно,-,С 1м/с
233893,2018-04-20,+18,751,ясно,-,Ю 5м/с,+12,750,пасмурно,-,Ю 5м/с
233893,2018-04-21,+9,754,пасмурно,-,В 4м/с,+5,760,пасмурно,-,В 4м/с
233893,2018-04-22,+7,761,пасмурно,-,СВ 5м/с,+4,765,ясно,-,СВ 5м/с
233893,2018-04-23,+15,762,ясно,-,ЮЗ 3м/с,+11,761,ясно,-,ЮЗ 3м/с
233893,2018-04-24,+21,755,ясно,-,ЮЗ 5м/с,+16,754,ясно,-,ЮЗ 5м/с
233893,2018-04-26,+8,743,ясно,-,СВ 7м/с,+1,749,малооблачно,снег,СВ 7м/с
233893,2018-04-27,+9,749,пасмурно,-,З 4м/с,+3,752,ясно,-,З 4м/с
233893,2018-04-28,+14,749,ясно,-,ЮЗ 4м/с,+10,749,ясно,-,ЮЗ 4м/с
233893,2018-04-29,+18,743,пасмурно,-,З 3м/с,+9,746,пасмурно,-,З 3м/с
233893,2018-04-30,+18,753,малооблачно,-,З 3м/с,+7,755,ясно,-,З 3м/с
