id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233771,2017-07-01,+28,676,малооблачно,-,В 4м/с,+28,676,малооблачно,-,В 4м/с
233771,2017-07-02,+28,678,облачно,-,ЮЗ 1м/с,+15,679,ясно,-,ЮЗ 1м/с
233771,2017-07-03,+31,677,малооблачно,-,СЗ 2м/с,+20,677,ясно,-,СЗ 2м/с
233771,2017-07-04,+31,678,малооблачно,-,З 3м/с,+18,679,ясно,-,З 3м/с
233771,2017-07-05,+32,679,малооблачно,-,З 3м/с,+19,679,ясно,-,З 3м/с
233771,2017-07-06,+32,678,облачно,-,З 4м/с,+20,679,ясно,-,З 4м/с
233771,2017-07-07,+32,678,облачно,-,СЗ 3м/с,+19,679,ясно,-,СЗ 3м/с
233771,2017-07-08,+33,677,ясно,-,З 2м/с,+23,678,малооблачно,-,З 2м/с
233771,2017-07-09,,,-,-,,+20,679,пасмурно,-,Ш
233771,2017-07-10,+20,679,малооблачно,-,В 4м/с,+16,679,ясно,-,В 4м/с
233771,2017-07-11,+17,674,пасмурно,-,В 4м/с,+14,674,пасмурно,-,В 4м/с
233771,2017-07-12,+16,671,пасмурно,-,В 3м/с,+14,671,пасмурно,-,В 3м/с
233771,2017-07-13,+16,670,пасмурно,-,В 1м/с,+15,671,пасмурно,-,В 1м/с
233771,2017-07-14,+21,674,пасмурно,-,Ю 2м/с,+14,675,малооблачно,-,Ю 2м/с
233771,2017-07-15,+21,678,облачно,-,В 3м/с,+13,680,малооблачно,-,В 3м/с
233771,2017-07-16,+26,679,пасмурно,-,З 1м/с,-,-,-,-,-
233771,2017-07-17,+24,679,облачно,-,З 4м/с,+14,680,малооблачно,-,З 4м/с
233771,2017-07-18,+23,675,пасмурно,-,З 3м/с,+16,671,пасмурно,-,З 3м/с
233771,2017-07-19,+13,670,пасмурно,-,З 4м/с,+10,671,пасмурно,-,З 4м/с
233771,2017-07-20,+14,676,пасмурно,-,СЗ 1м/с,+11,677,пасмурно,-,СЗ 1м/с
233771,2017-07-21,+15,679,пасмурно,-,Ю 1м/с,+10,681,облачно,-,Ю 1м/с
233771,2017-07-22,+17,680,пасмурно,-,СЗ 2м/с,+18,680,пасмурно,-,СЗ 2м/с
233771,2017-07-23,,,-,-,,+12,674,пасмурно,-,Ш
233771,2017-07-24,+15,672,пасмурно,-,СЗ 1м/с,+12,672,пасмурно,-,СЗ 1м/с
233771,2017-07-25,+14,674,пасмурно,-,СЗ 2м/с,+11,677,пасмурно,-,СЗ 2м/с
233771,2017-07-26,+20,677,облачно,-,СЗ 3м/с,+12,680,облачно,-,СЗ 3м/с
233771,2017-07-27,+18,679,пасмурно,-,З 1м/с,+11,680,пасмурно,-,З 1м/с
233771,2017-07-28,+16,678,пасмурно,-,СЗ 2м/с,+11,680,малооблачно,-,СЗ 2м/с
233771,2017-07-29,+23,680,малооблачно,-,С 2м/с,+11,681,малооблачно,-,С 2м/с
233771,2017-07-30,+22,681,пасмурно,-,З 2м/с,+13,682,пасмурно,-,З 2м/с
233771,2017-07-31,+19,682,пасмурно,-,Ю 1м/с,+15,683,пасмурно,-,Ю 1м/с
