id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233836,2021-10-01,+16,740,малооблачно,-,З 2м/с,+1,743,ясно,-,З 2м/с
233836,2021-10-02,+12,742,пасмурно,-,З 2м/с,+2,744,малооблачно,-,З 2м/с
233836,2021-10-03,+10,743,пасмурно,-,В 1м/с,+7,740,пасмурно,-,В 1м/с
233836,2021-10-04,+8,749,пасмурно,-,СЗ 2м/с,0,752,ясно,-,СЗ 2м/с
233836,2021-10-05,+12,750,облачно,-,ЮЗ 3м/с,-1,751,ясно,-,ЮЗ 3м/с
233836,2021-10-06,+13,749,малооблачно,-,З 3м/с,-1,749,ясно,-,З 3м/с
233836,2021-10-07,+13,746,ясно,-,З 2м/с,0,747,ясно,-,З 2м/с
233836,2021-10-08,+14,748,пасмурно,-,З 2м/с,0,752,ясно,-,З 2м/с
233836,2021-10-09,+19,751,ясно,-,Ю 3м/с,+3,748,ясно,-,Ю 3м/с
233836,2021-10-10,+13,733,пасмурно,-,Ю 3м/с,+11,736,пасмурно,-,Ю 3м/с
233836,2021-10-11,+12,745,малооблачно,-,З 4м/с,0,750,ясно,-,З 4м/с
233836,2021-10-12,+16,755,ясно,-,З 2м/с,-1,756,ясно,-,З 2м/с
233836,2021-10-13,+18,751,ясно,-,Ю 2м/с,+1,749,малооблачно,-,Ю 2м/с
233836,2021-10-14,+9,741,пасмурно,-,ЮЗ 2м/с,+8,741,малооблачно,-,ЮЗ 2м/с
233836,2021-10-15,+3,749,пасмурно,-,ЮЗ 2м/с,-4,749,ясно,-,ЮЗ 2м/с
233836,2021-10-16,0,743,пасмурно,снег,ЮЗ 1м/с,-2,743,пасмурно,-,ЮЗ 1м/с
233836,2021-10-17,-1,745,пасмурно,-,ЮЗ 2м/с,-2,747,пасмурно,-,ЮЗ 2м/с
233836,2021-10-18,+1,749,пасмурно,-,З 1м/с,-2,750,облачно,-,З 1м/с
233836,2021-10-19,+2,749,ясно,-,З 2м/с,-8,751,ясно,-,З 2м/с
233836,2021-10-20,+3,746,ясно,-,ЮВ 2м/с,-7,748,ясно,-,ЮВ 2м/с
233836,2021-10-21,+5,746,ясно,-,ЮЗ 2м/с,-4,747,пасмурно,-,ЮЗ 2м/с
233836,2021-10-24,+13,747,ясно,-,ЮЗ 3м/с,-3,749,ясно,-,ЮЗ 3м/с
233836,2021-10-25,+15,746,ясно,-,ЮЗ 2м/с,-3,748,ясно,-,ЮЗ 2м/с
233836,2021-10-26,+16,743,ясно,-,ЮЗ 2м/с,-2,743,ясно,-,ЮЗ 2м/с
233836,2021-10-27,+5,741,пасмурно,-,Ш,+1,743,-,-,Ш
233836,2021-10-28,+5,749,пасмурно,-,В 1м/с,-2,752,ясно,-,В 1м/с
233836,2021-10-29,+9,752,ясно,-,Ю 1м/с,-2,753,ясно,-,Ю 1м/с
233836,2021-10-30,+12,750,ясно,-,Ю 2м/с,-1,751,ясно,-,Ю 2м/с
233836,2021-10-31,+3,752,малооблачно,-,СЗ 3м/с,-3,754,ясно,-,СЗ 3м/с
