id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233951,2017-01-01,-16,761,ясно,-,ЮЗ 6м/с,-18,761,ясно,-,ЮЗ 6м/с
233951,2017-01-02,-18,760,ясно,-,ЮЗ 6м/с,-18,760,ясно,-,ЮЗ 6м/с
233951,2017-01-03,-17,760,ясно,-,ЮЗ 5м/с,-18,761,ясно,-,ЮЗ 5м/с
233951,2017-01-04,-19,767,ясно,-,ЮЗ 5м/с,-20,769,ясно,-,ЮЗ 5м/с
233951,2017-01-05,-17,767,ясно,-,З 9м/с,-17,767,ясно,-,З 9м/с
233951,2017-01-06,-15,760,ясно,-,ЮЗ 11м/с,-14,760,ясно,-,ЮЗ 11м/с
233951,2017-01-07,-17,764,ясно,-,ЮЗ 7м/с,-16,764,ясно,-,ЮЗ 7м/с
233951,2017-01-08,-14,759,пасмурно,снег,ЮЗ 3м/с,-15,758,малооблачно,снег,ЮЗ 3м/с
233951,2017-01-09,-21,756,ясно,-,Ю 3м/с,-25,757,ясно,-,Ю 3м/с
233951,2017-01-10,-23,759,ясно,-,ЮЗ 3м/с,-23,758,пасмурно,-,ЮЗ 3м/с
233951,2017-01-11,-21,755,пасмурно,снег,ЮЗ 6м/с,-20,757,пасмурно,снег,ЮЗ 6м/с
233951,2017-01-12,-16,755,пасмурно,снег,ЮЗ 3м/с,-17,758,пасмурно,снег,ЮЗ 3м/с
233951,2017-01-13,-14,765,малооблачно,-,З 3м/с,-15,770,облачно,-,З 3м/с
233951,2017-01-14,-11,772,пасмурно,снег,ЮЗ 3м/с,-10,773,пасмурно,-,ЮЗ 3м/с
233951,2017-01-15,-12,774,ясно,-,ЮЗ 2м/с,-14,773,ясно,-,ЮЗ 2м/с
233951,2017-01-16,-14,773,ясно,-,ЮЗ 5м/с,-17,773,ясно,-,ЮЗ 5м/с
233951,2017-01-17,-15,772,ясно,-,ЮЗ 4м/с,-19,773,ясно,-,ЮЗ 4м/с
233951,2017-01-18,-17,770,ясно,-,ЮЗ 3м/с,-20,770,ясно,-,ЮЗ 3м/с
233951,2017-01-19,-18,768,ясно,-,ЮЗ 4м/с,-22,768,ясно,-,ЮЗ 4м/с
233951,2017-01-20,-21,767,ясно,-,ЮЗ 4м/с,-25,769,ясно,-,ЮЗ 4м/с
233951,2017-01-21,-21,770,ясно,-,ЮЗ 5м/с,-23,770,ясно,-,ЮЗ 5м/с
233951,2017-01-22,-21,767,ясно,-,ЮЗ 5м/с,-24,767,ясно,-,ЮЗ 5м/с
233951,2017-01-23,-20,765,ясно,-,З 9м/с,-19,764,ясно,-,З 9м/с
233951,2017-01-24,-15,763,ясно,-,ЮЗ 7м/с,-16,764,ясно,-,ЮЗ 7м/с
233951,2017-01-25,-13,762,ясно,-,ЮЗ 7м/с,-14,762,ясно,-,ЮЗ 7м/с
233951,2017-01-26,-13,758,ясно,-,З 3м/с,-14,757,ясно,-,З 3м/с
233951,2017-01-27,-11,756,пасмурно,снег,С 8м/с,-12,759,пасмурно,снег,С 8м/с
233951,2017-01-28,-14,766,ясно,-,ЮЗ 3м/с,-17,767,ясно,-,ЮЗ 3м/с
233951,2017-01-29,-16,764,малооблачно,-,З 8м/с,-16,762,ясно,-,З 8м/с
233951,2017-01-30,-15,758,ясно,-,ЮЗ 6м/с,-16,757,ясно,-,ЮЗ 6м/с
233951,2017-01-31,-13,756,ясно,-,З 6м/с,-15,758,пасмурно,-,З 6м/с
