id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233756,2017-04-01,+8,750,пасмурно,-,С 1м/с,+1,751,малооблачно,-,С 1м/с
233756,2017-04-02,+8,749,пасмурно,-,СВ 3м/с,-2,752,малооблачно,-,СВ 3м/с
233756,2017-04-03,+9,755,малооблачно,-,ЮВ 2м/с,-2,757,малооблачно,-,ЮВ 2м/с
233756,2017-04-04,+14,753,ясно,-,Ю 3м/с,+1,754,ясно,-,Ю 3м/с
233756,2017-04-05,-1,754,пасмурно,снег,СВ 4м/с,-3,758,пасмурно,снег,СВ 4м/с
233756,2017-04-06,+3,750,пасмурно,-,Ю 2м/с,-1,750,пасмурно,-,Ю 2м/с
233756,2017-04-07,+4,755,облачно,-,СЗ 4м/с,-3,758,малооблачно,-,СЗ 4м/с
233756,2017-04-08,+1,749,пасмурно,снег,Ю 2м/с,0,747,пасмурно,снег,Ю 2м/с
233756,2017-04-09,0,749,пасмурно,снег,СВ 4м/с,-3,754,облачно,-,СВ 4м/с
233756,2017-04-10,+6,753,малооблачно,-,Ю 3м/с,-2,752,облачно,-,Ю 3м/с
233756,2017-04-11,+11,740,малооблачно,-,З 3м/с,+5,744,малооблачно,-,З 3м/с
233756,2017-04-12,+3,743,малооблачно,-,З 3м/с,-4,743,малооблачно,-,З 3м/с
233756,2017-04-13,+2,740,малооблачно,-,З 5м/с,0,743,малооблачно,-,З 5м/с
233756,2017-04-14,+8,740,малооблачно,-,С 3м/с,-3,743,ясно,-,С 3м/с
233756,2017-04-15,+8,743,пасмурно,-,ЮВ 3м/с,+1,743,пасмурно,-,ЮВ 3м/с
233756,2017-04-16,+4,747,пасмурно,-,С 2м/с,-2,750,малооблачно,-,С 2м/с
233756,2017-04-17,+11,752,пасмурно,-,З 4м/с,-2,754,ясно,-,З 4м/с
233756,2017-04-18,+7,751,малооблачно,-,Ю 3м/с,+1,751,пасмурно,-,Ю 3м/с
233756,2017-04-19,+3,751,пасмурно,-,СВ 4м/с,+1,753,пасмурно,-,СВ 4м/с
233756,2017-04-20,+4,753,пасмурно,-,С 2м/с,-1,755,пасмурно,-,С 2м/с
233756,2017-04-21,+5,752,пасмурно,-,В 2м/с,0,754,пасмурно,снег,В 2м/с
233756,2017-04-22,+6,755,пасмурно,-,СВ 3м/с,0,758,пасмурно,-,СВ 3м/с
233756,2017-04-23,+7,758,облачно,-,ЮВ 2м/с,-2,761,ясно,-,ЮВ 2м/с
233756,2017-04-24,+3,761,пасмурно,-,ЮВ 1м/с,0,761,малооблачно,-,ЮВ 1м/с
233756,2017-04-25,+4,758,пасмурно,-,З 1м/с,+2,755,пасмурно,-,З 1м/с
233756,2017-04-26,+7,749,пасмурно,-,СВ 2м/с,+1,749,пасмурно,-,СВ 2м/с
233756,2017-04-27,+9,744,малооблачно,-,СВ 2м/с,+3,745,малооблачно,-,СВ 2м/с
233756,2017-04-28,+8,743,пасмурно,-,С 3м/с,+1,746,пасмурно,-,С 3м/с
233756,2017-04-29,+7,743,пасмурно,-,ЮВ 4м/с,+4,746,пасмурно,-,ЮВ 4м/с
233756,2017-04-30,+3,748,пасмурно,-,С 2м/с,+2,751,пасмурно,-,С 2м/с
