id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233757,2017-02-01,-11,749,пасмурно,-,З 2м/с,-18,751,ясно,-,З 2м/с
233757,2017-02-02,-12,749,ясно,-,СЗ 2м/с,-21,751,ясно,-,СЗ 2м/с
233757,2017-02-03,-6,750,малооблачно,-,З 4м/с,-17,753,малооблачно,-,З 4м/с
233757,2017-02-04,-3,755,ясно,-,Ш,-18,755,-,-,Ш
233757,2017-02-05,-5,752,ясно,-,СВ 1м/с,-19,755,малооблачно,-,СВ 1м/с
233757,2017-02-06,-7,754,ясно,-,СВ 2м/с,-10,755,пасмурно,-,СВ 2м/с
233757,2017-02-07,-6,752,пасмурно,-,СЗ 2м/с,-7,752,пасмурно,снег,СЗ 2м/с
233757,2017-02-08,-5,749,малооблачно,-,СЗ 2м/с,-9,752,пасмурно,-,СЗ 2м/с
233757,2017-02-09,-4,752,пасмурно,снег,Ш,-7,752,пасмурно,снег,Ш
233757,2017-02-10,-3,749,пасмурно,снег,С 2м/с,-6,750,пасмурно,снег,С 2м/с
233757,2017-02-11,-2,754,пасмурно,-,СВ 2м/с,-4,756,пасмурно,-,СВ 2м/с
233757,2017-02-12,-3,759,пасмурно,-,СВ 2м/с,-4,761,пасмурно,-,СВ 2м/с
233757,2017-02-13,-2,762,пасмурно,-,В 3м/с,-7,763,пасмурно,снег,В 3м/с
233757,2017-02-14,0,758,малооблачно,-,З 2м/с,-8,759,пасмурно,-,З 2м/с
233757,2017-02-15,-1,756,ясно,-,ЮЗ 2м/с,-11,757,облачно,-,ЮЗ 2м/с
233757,2017-02-16,-4,750,пасмурно,снег,СВ 1м/с,-6,747,пасмурно,снег,СВ 1м/с
233757,2017-02-17,-7,744,пасмурно,снег,СЗ 1м/с,-10,746,пасмурно,снег,СЗ 1м/с
233757,2017-02-18,-10,748,ясно,-,В 2м/с,-13,751,малооблачно,-,В 2м/с
233757,2017-02-19,-8,752,ясно,-,СЗ 2м/с,-14,753,ясно,-,СЗ 2м/с
233757,2017-02-20,-8,751,малооблачно,-,СЗ 2м/с,-21,752,ясно,-,СЗ 2м/с
233757,2017-02-21,-7,756,ясно,-,З 4м/с,-16,759,ясно,-,З 4м/с
233757,2017-02-22,-5,754,пасмурно,-,ЮЗ 2м/с,-11,753,пасмурно,-,ЮЗ 2м/с
233757,2017-02-23,-6,748,облачно,-,СВ 3м/с,-14,749,облачно,-,СВ 3м/с
233757,2017-02-24,-6,748,малооблачно,-,ЮЗ 2м/с,-11,750,пасмурно,снег,ЮЗ 2м/с
233757,2017-02-25,-9,747,пасмурно,снег,СВ 3м/с,-12,750,пасмурно,снег,СВ 3м/с
233757,2017-02-26,-6,756,малооблачно,-,СЗ 3м/с,-19,760,ясно,-,СЗ 3м/с
233757,2017-02-27,-3,761,ясно,-,ЮЗ 2м/с,-16,762,малооблачно,-,ЮЗ 2м/с
233757,2017-02-28,0,758,пасмурно,-,В 1м/с,-7,758,пасмурно,-,В 1м/с
