id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233979,2018-12-01,-14,759,ясно,-,СЗ 1м/с,-15,760,ясно,-,СЗ 1м/с
233979,2018-12-02,-10,761,малооблачно,-,С 2м/с,-13,764,ясно,-,С 2м/с
233979,2018-12-03,-3,758,малооблачно,снег,ЮВ 3м/с,-7,756,пасмурно,-,ЮВ 3м/с
233979,2018-12-04,-7,758,ясно,-,ЮЗ 2м/с,-11,758,ясно,-,ЮЗ 2м/с
233979,2018-12-05,-15,757,ясно,-,З 4м/с,-18,758,ясно,-,З 4м/с
233979,2018-12-06,-21,758,ясно,-,З 6м/с,-25,759,ясно,-,З 6м/с
233979,2018-12-07,-23,756,ясно,-,З 6м/с,-24,757,ясно,-,З 6м/с
233979,2018-12-08,-21,758,облачно,-,З 4м/с,-21,760,пасмурно,снег,З 4м/с
233979,2018-12-09,-19,761,пасмурно,снег,З 5м/с,-18,764,пасмурно,снег,З 5м/с
233979,2018-12-10,-17,768,ясно,-,З 3м/с,-17,768,ясно,-,З 3м/с
233979,2018-12-11,-17,767,ясно,-,З 4м/с,-20,767,ясно,-,З 4м/с
233979,2018-12-12,-19,766,ясно,-,СВ 2м/с,-24,767,ясно,-,СВ 2м/с
233979,2018-12-13,-21,764,ясно,-,СВ 2м/с,-26,765,ясно,-,СВ 2м/с
233979,2018-12-14,-16,764,ясно,-,З 4м/с,-18,764,ясно,-,З 4м/с
233979,2018-12-15,-13,761,ясно,-,З 5м/с,-14,761,ясно,-,З 5м/с
233979,2018-12-16,-12,755,облачно,-,Ю 1м/с,-16,755,малооблачно,-,Ю 1м/с
233979,2018-12-17,-18,752,ясно,-,СЗ 1м/с,-23,752,ясно,-,СЗ 1м/с
233979,2018-12-18,-16,746,малооблачно,-,З 3м/с,-17,745,ясно,-,З 3м/с
233979,2018-12-19,-15,742,пасмурно,снег,З 6м/с,-14,745,пасмурно,снег,З 6м/с
233979,2018-12-20,-15,756,ясно,-,З 5м/с,-15,758,ясно,-,З 5м/с
233979,2018-12-21,-11,762,ясно,-,З 2м/с,-14,763,ясно,-,З 2м/с
233979,2018-12-22,-15,764,ясно,-,Ш,-21,763,ясно,-,Ш
233979,2018-12-23,-11,752,малооблачно,-,ЮЗ 3м/с,-11,751,облачно,-,ЮЗ 3м/с
233979,2018-12-24,-16,752,ясно,-,З 8м/с,-16,750,малооблачно,-,З 8м/с
233979,2018-12-25,-14,752,пасмурно,снег,З 6м/с,-12,755,пасмурно,-,З 6м/с
233979,2018-12-26,-13,751,пасмурно,снег,З 4м/с,-13,750,пасмурно,-,З 4м/с
233979,2018-12-27,-17,748,пасмурно,снег,З 5м/с,-16,750,пасмурно,-,З 5м/с
233979,2018-12-28,-12,751,малооблачно,-,СЗ 7м/с,-12,750,пасмурно,снег,СЗ 7м/с
233979,2018-12-29,-9,757,облачно,снег,СЗ 10м/с,-12,762,малооблачно,-,СЗ 10м/с
233979,2018-12-30,-14,770,ясно,-,СЗ 2м/с,-19,771,ясно,-,СЗ 2м/с
233979,2018-12-31,-15,762,малооблачно,-,З 6м/с,-15,761,пасмурно,снег,З 6м/с
