id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233875,2019-08-01,+18,747,пасмурно,-,С 2м/с,+16,747,пасмурно,-,С 2м/с
233875,2019-08-02,+17,748,пасмурно,-,СВ 1м/с,+16,750,пасмурно,-,СВ 1м/с
233875,2019-08-03,+25,752,малооблачно,-,З 2м/с,+19,752,ясно,-,З 2м/с
233875,2019-08-04,+26,749,малооблачно,-,СЗ 1м/с,+21,749,облачно,-,СЗ 1м/с
233875,2019-08-05,+26,747,малооблачно,-,З 3м/с,+24,748,малооблачно,-,З 3м/с
233875,2019-08-06,+25,754,ясно,-,СВ 1м/с,+17,755,ясно,-,СВ 1м/с
233875,2019-08-07,+28,752,ясно,-,СЗ 1м/с,+20,752,малооблачно,-,СЗ 1м/с
233875,2019-08-08,+28,753,малооблачно,-,С 1м/с,+18,755,ясно,-,С 1м/с
233875,2019-08-09,+21,755,ясно,-,СВ 2м/с,+15,755,малооблачно,-,СВ 2м/с
233875,2019-08-10,+22,755,ясно,-,С 2м/с,+14,755,малооблачно,-,С 2м/с
233875,2019-08-11,+21,752,пасмурно,-,С 1м/с,+16,751,пасмурно,-,С 1м/с
233875,2019-08-12,+19,749,малооблачно,-,СЗ 1м/с,+15,751,ясно,-,СЗ 1м/с
233875,2019-08-13,+26,750,ясно,-,З 2м/с,+21,752,пасмурно,-,З 2м/с
233875,2019-08-14,+25,750,малооблачно,-,СВ 2м/с,+17,750,облачно,-,СВ 2м/с
233875,2019-08-15,+19,751,облачно,-,ЮВ 3м/с,+16,752,пасмурно,-,ЮВ 3м/с
233875,2019-08-16,+15,752,пасмурно,-,В 3м/с,+14,752,пасмурно,-,В 3м/с
233875,2019-08-17,+14,752,пасмурно,-,В 3м/с,+13,752,пасмурно,-,В 3м/с
233875,2019-08-18,+17,752,облачно,-,СВ 3м/с,+14,753,пасмурно,-,СВ 3м/с
233875,2019-08-19,+20,755,облачно,-,СЗ 2м/с,+16,755,пасмурно,-,СЗ 2м/с
233875,2019-08-20,+17,755,пасмурно,-,СВ 1м/с,+16,755,пасмурно,-,СВ 1м/с
233875,2019-08-21,+18,755,облачно,-,В 1м/с,+15,756,малооблачно,-,В 1м/с
233875,2019-08-22,+19,755,пасмурно,-,В 3м/с,+14,756,малооблачно,-,В 3м/с
233875,2019-08-23,+19,755,пасмурно,-,СВ 3м/с,+15,755,облачно,-,СВ 3м/с
233875,2019-08-24,+17,755,малооблачно,-,СВ 3м/с,+14,755,малооблачно,-,СВ 3м/с
233875,2019-08-25,+15,753,малооблачно,-,В 2м/с,+13,754,пасмурно,-,В 2м/с
233875,2019-08-26,+24,750,ясно,-,З 3м/с,+18,751,малооблачно,-,З 3м/с
233875,2019-08-27,+25,752,малооблачно,-,СЗ 2м/с,+17,753,малооблачно,-,СЗ 2м/с
233875,2019-08-28,+22,752,ясно,-,СВ 3м/с,+17,753,малооблачно,-,СВ 3м/с
233875,2019-08-29,+18,752,пасмурно,-,СВ 2м/с,+17,752,пасмурно,-,СВ 2м/с
233875,2019-08-30,+17,750,пасмурно,-,Ш,+16,750,пасмурно,-,Ш
233875,2019-08-31,+19,748,облачно,-,З 2м/с,+14,750,пасмурно,-,З 2м/с
