id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233802,2017-10-01,+14,740,малооблачно,-,Ю 7м/с,+9,746,пасмурно,-,Ю 7м/с
233802,2017-10-02,+6,754,пасмурно,-,З 3м/с,0,755,малооблачно,-,З 3м/с
233802,2017-10-03,+6,755,пасмурно,-,З 4м/с,+6,757,пасмурно,-,З 4м/с
233802,2017-10-04,+9,758,пасмурно,-,З 4м/с,+1,759,ясно,-,З 4м/с
233802,2017-10-05,+11,755,пасмурно,-,Ю 5м/с,+8,756,пасмурно,-,Ю 5м/с
233802,2017-10-06,+20,756,малооблачно,-,Ю 5м/с,+16,755,малооблачно,-,Ю 5м/с
233802,2017-10-07,+15,756,пасмурно,-,ЮЗ 1м/с,+9,759,пасмурно,-,ЮЗ 1м/с
233802,2017-10-08,+10,764,пасмурно,-,З 2м/с,+7,763,пасмурно,-,З 2м/с
233802,2017-10-09,+10,760,пасмурно,-,СЗ 3м/с,+4,761,ясно,-,СЗ 3м/с
233802,2017-10-10,+10,761,ясно,-,СЗ 4м/с,+2,761,ясно,-,СЗ 4м/с
233802,2017-10-11,+11,757,ясно,-,Ю 2м/с,+5,757,пасмурно,-,Ю 2м/с
233802,2017-10-12,+5,756,пасмурно,-,ЮЗ 1м/с,+4,757,пасмурно,-,ЮЗ 1м/с
233802,2017-10-13,+7,756,пасмурно,-,З 1м/с,0,758,малооблачно,-,З 1м/с
233802,2017-10-14,+5,758,пасмурно,-,СЗ 4м/с,+1,761,пасмурно,-,СЗ 4м/с
233802,2017-10-15,+5,763,пасмурно,-,З 5м/с,-1,764,ясно,-,З 5м/с
233802,2017-10-16,+8,762,малооблачно,-,З 3м/с,-2,761,пасмурно,-,З 3м/с
233802,2017-10-17,+6,761,малооблачно,-,СЗ 5м/с,-1,764,ясно,-,СЗ 5м/с
233802,2017-10-18,+5,764,ясно,-,ЮЗ 1м/с,-3,762,ясно,-,ЮЗ 1м/с
233802,2017-10-19,+9,757,ясно,-,Ю 2м/с,0,758,ясно,-,Ю 2м/с
233802,2017-10-20,+9,757,пасмурно,-,ЮВ 2м/с,+4,756,малооблачно,-,ЮВ 2м/с
233802,2017-10-21,+3,758,малооблачно,-,З 6м/с,-3,761,ясно,-,З 6м/с
233802,2017-10-22,+2,761,ясно,-,З 4м/с,-4,761,ясно,-,З 4м/с
233802,2017-10-23,+4,756,ясно,-,СЗ 3м/с,-3,757,ясно,-,СЗ 3м/с
233802,2017-10-24,+11,756,ясно,-,Ю 4м/с,+5,755,ясно,-,Ю 4м/с
233802,2017-10-25,+8,758,малооблачно,-,З 5м/с,0,761,ясно,-,З 5м/с
233802,2017-10-26,+11,758,ясно,-,Ю 3м/с,0,759,малооблачно,-,Ю 3м/с
233802,2017-10-27,+15,760,ясно,-,Ю 2м/с,+2,760,ясно,-,Ю 2м/с
233802,2017-10-28,+16,755,малооблачно,-,Ю 5м/с,+15,754,пасмурно,-,Ю 5м/с
233802,2017-10-29,+3,754,пасмурно,-,З 4м/с,-3,754,облачно,-,З 4м/с
233802,2017-10-30,+4,752,малооблачно,-,СЗ 7м/с,-1,753,ясно,-,СЗ 7м/с
233802,2017-10-31,+5,752,ясно,-,Ю 4м/с,0,750,малооблачно,-,Ю 4м/с
